pitcher,model,count_dummy,count_3-2,count_3-1,count_3-0,count_2-2,count_2-1,count_2-0,count_1-2,count_1-1,count_1-0,count_0-2,count_0-1
112526,rf,0.6755280545653776,0.7477906477906477,0.7819201850780798,0.8099999999999999,0.6295515920077325,0.7167858695815152,0.755274007038713,0.6559525616126076,0.6631321838964712,0.7860514451506582,0.6789622200884338,0.6926736504911136
112526,svm,0.6861374691841984,0.8017846417846417,0.8444148833622519,0.8766666666666666,0.5881227868947166,0.7599182322982423,0.8174836601307189,0.5914777763810769,0.7007797505925962,0.7678114706000054,0.7209654207712461,0.7022548800833531
276351,rf,0.5169686411149825,0.5408771929824562,0.74,0.85,0.528390206284943,0.5920220841959972,0.6158730158730159,0.5178078078078079,0.522393469770087,0.5879845304038852,0.573003663003663,0.5738204203457282
276351,svm,0.4692991764333228,0.5363157894736842,0.86,0.9,0.5816772700983227,0.5875224292615597,0.5843253968253969,0.5157357357357357,0.4127209012520177,0.4790040186814381,0.6315384615384616,0.5037858652974931
276542,rf,0.4954172778657904,0.4514285714285714,0.5807142857142857,0.7666666666666666,0.3593727348037693,0.4625536032594856,0.5479895104895105,0.41571654302746736,0.4500571328341742,0.5164464246341365,0.4159090909090909,0.4367108888208633
276542,svm,0.5499912825542117,0.4942673992673993,0.7392857142857142,1.0,0.4575706377884236,0.5389009421950599,0.5692890442890443,0.4968125711823192,0.44809513480510293,0.6055216892652211,0.4661363636363636,0.5158958318932744
279571,rf,0.458439033059696,0.509873949579832,0.5166666666666666,0.7,0.4485072463768116,0.44004329004328996,0.562857142857143,0.4789096880131363,0.3897943970598433,0.5108454469507102,0.39476996687523,0.4456334688346884
279571,svm,0.4473390617858353,0.5975840336134454,0.7833333333333333,1.0,0.32742236024844723,0.3512987012987013,0.6564285714285715,0.28667323481116586,0.3850859857152764,0.5561654135338345,0.3807839528892161,0.30630937098844674
282332,rf,0.4934569061805081,0.5288974358974359,0.6949425287356321,0.7249816849816851,0.4826718011119201,0.4817129201356769,0.5807522478859358,0.4307364037053638,0.4598906031767246,0.4780065793745039,0.5061046348190439,0.4730713820395445
282332,svm,0.4263414501831343,0.5571339031339032,0.8412151067323481,0.9384615384615383,0.3976560776878055,0.4542373959296948,0.6099755226657849,0.28968511878081576,0.3693112582936905,0.3724590137325987,0.4303891874124833,0.3119994036137731
285079,rf,0.6958628827597598,0.6631830571901404,0.6244857357357357,0.5629824561403509,0.7254570760226469,0.6882181259600614,0.5774945257548316,0.7464503777560214,0.8037343419886561,0.6991041045657399,0.6717056906872774,0.7577176680977913
285079,svm,0.7970162466701888,0.7224288790950035,0.5930030030030029,0.5987017543859648,0.7544372845804448,0.7254121863799283,0.5691101189882627,0.6423637167279107,0.8540307015156721,0.7865045837208491,0.7262428223320292,0.7220262932090851
407793,rf,0.6210265085365407,0.5505641978175063,0.6092910013962645,0.5566666666666668,0.5301057781673875,0.5577448757736001,0.4980849150849151,0.5162572979150978,0.5752156665326404,0.5353673194774138,0.5268832117760499,0.5934025476849996
407793,svm,0.5840513027905684,0.5397623319332165,0.5649514228461597,0.6399999999999999,0.6103076843827007,0.4824316809321033,0.4524035964035963,0.4579288499450095,0.5412148153934907,0.5624587710554929,0.5678696569345771,0.5914256743269257
407822,rf,0.4900959968118792,0.5636976253406273,0.4325252525252525,0.6273737373737374,0.4764791241984224,0.4646252662628808,0.5021816028152073,0.4244529966307188,0.4186959832544733,0.4426077999613859,0.3495646806024165,0.350981240981241
407822,svm,0.3869369862945876,0.544159034564714,0.5522356902356903,0.8284848484848485,0.4465033319419284,0.3857503593214563,0.4470103660419679,0.31624164214276856,0.31320024455568163,0.4112907619265277,0.3358569238488376,0.3467316017316017
407845,rf,0.5838489363525577,0.5015037593984962,0.5801282051282052,0.7488888888888889,0.5518165888849001,0.5105769230769229,0.7355103444886727,0.5248440255396778,0.4577663493724277,0.6315207499869849,0.3827031778228533,0.5103182401521533
407845,svm,0.6123992947339157,0.5779030910609858,0.7160256410256409,0.9266666666666667,0.5076870608749167,0.6651098901098901,0.8292299375890707,0.5586836931184758,0.4618080703633013,0.6549033242428247,0.5785179175118322,0.4532880264339668
424144,rf,0.4663228943228943,0.4092760180995475,0.2825396825396825,0.27238095238095233,0.4606521739130435,0.5047058823529411,0.43833333333333335,0.5557154673283705,0.3749157397107898,0.4094060419866872,0.5076149776149776,0.4539133444075304
424144,svm,0.5085222365222365,0.5428355957767723,0.6730158730158731,0.722857142857143,0.4626811594202898,0.5713725490196078,0.6116666666666666,0.6199299372354401,0.4478620689655172,0.40191705069124417,0.4727146927146927,0.4412942967884829
425844,rf,0.47624441550034,0.476426189370779,0.3940873015873016,0.7387012987012987,0.4039116401425621,0.4258709406754596,0.4421424874935312,0.41863432275688417,0.4356191077357551,0.4723120504430519,0.44577804097545504,0.4446807628319099
425844,svm,0.4852047375685304,0.4324213279217324,0.4371825396825397,0.8472727272727273,0.4265219849312028,0.4494041039407657,0.4806106606865621,0.4561800137375698,0.4045146889546888,0.4632005781418194,0.4802893883706629,0.4528349967621222
429719,rf,0.47193590251980794,0.5294097496706193,0.677948717948718,0.6380952380952382,0.4830596606458675,0.5394062584092569,0.6924242424242425,0.4634280625311538,0.4267670894996477,0.4847792871241146,0.4783114521170787,0.5540192810532988
429719,svm,0.31414511862332123,0.4430171277997365,0.8379487179487181,0.9017316017316018,0.5015599343185551,0.5606658209356861,0.7507575757575757,0.4900046623352069,0.4267811839323468,0.3924360849878091,0.540542199488491,0.3742420626672723
429722,rf,0.601307573161985,0.7163528509885809,0.8847601612727471,0.8897668997668997,0.4620844338846261,0.5690823151781655,0.7260304607673029,0.6095772450775232,0.4087769213422302,0.5919491517889688,0.7772054035753121,0.4788603373560845
429722,svm,0.5139424798746458,0.6109482852681679,0.8829294976571864,0.926969696969697,0.4088928836552597,0.4921138615094135,0.7792468350363086,0.6197273816767835,0.41632085092799737,0.4770659419400839,0.772365115489106,0.4538748519828785
430641,rf,0.43413575908823815,0.5951298701298702,0.4214285714285714,0.16,0.6551842751842751,0.6181630546955624,0.7119658119658119,0.5013711583924351,0.5565109079127367,0.5845388245388246,0.5355150678628939,0.4537279961417893
430641,svm,0.389899860686333,0.6769155844155843,0.5992063492063492,0.2,0.5716771316771319,0.6118980048159615,0.7033119658119659,0.3565721040189125,0.5008364275942936,0.5315229515229515,0.5575886818495515,0.3394811335590946
430912,rf,0.4342484904656563,0.4669483390173045,0.5335897435897435,0.67,0.5022578569352762,0.4442881237952453,0.4853221288515406,0.4535363381635131,0.3849298758954697,0.4181136834090747,0.4138178514649103,0.3247640809011777
430912,svm,0.3008472690286309,0.496480358721738,0.51,0.7699999999999999,0.3649655634290609,0.39739371385735706,0.4440336134453782,0.3906444741879309,0.3085272256415431,0.3179556972566561,0.4087735634794458,0.2580561083182051
430935,rf,0.5768331877564176,0.45513083583618,0.6695627240143369,0.9466165413533834,0.4146768916625483,0.5504673717029979,0.689791493601821,0.4558236756810018,0.4789542281179912,0.5390138282625967,0.4818140686536764,0.5434998959577746
430935,svm,0.4284795297786152,0.3908976490501568,0.7380716845878136,0.9857142857142858,0.2891912330908297,0.4158165904661817,0.6800240304924967,0.3371135935197912,0.34199858858395443,0.4768260755391298,0.38057788756934596,0.4044246781820813
432934,rf,0.556196611872555,0.5250911249209604,0.7887441569363766,0.8965909090909091,0.5041134507704214,0.4846837944664032,0.8320645127541679,0.5416942825836573,0.4972275660356155,0.6217696478621975,0.5322820084105995,0.5114695379588229
432934,svm,0.6248956559934288,0.5769300718818586,0.9045336306205872,0.9675,0.5973237920341851,0.5687252964426878,0.8684281491178043,0.5693929378566832,0.4793860164603199,0.6120106419067004,0.5094173379946294,0.4567897604682577
433586,rf,0.6465690857561232,0.4102235982112143,0.6168831168831168,0.7133333333333333,0.4221567787534804,0.5699455054749172,0.7093498168498169,0.34225274725274724,0.4084286884286884,0.6098148677218445,0.3813532763532764,0.4013144433974963
433586,svm,0.3274287396559292,0.3301616787065703,0.8080808080808082,0.9,0.3172520882415935,0.436628469569646,0.6807509157509157,0.40946886446886455,0.37060255060255065,0.4972074114743478,0.4482478632478633,0.30059406829093194
433587,rf,0.476793930690803,0.4133605154535385,0.5875935828877006,0.6534340659340659,0.3935097001763669,0.3967172706525578,0.4125230054498347,0.4162568081644144,0.29472929254157,0.3926593507734787,0.36558079292547146,0.3784484043278294
433587,svm,0.4734937979027672,0.450247179914954,0.5591622103386811,0.7470238095238095,0.4369909103242437,0.437348271494103,0.485350665594568,0.4302935622801779,0.4203136444683233,0.3772083967574073,0.388882874176428,0.4106986787412013
