on_first,on_second,on_third,outs,pitch_count,ab_pitch_count,prior_px,prior_py,score_diff,hand,a_global_PP,b_global_weighted_PP,c_40_PP,d_120_PP,e_360_PP,f_PP_to_batter,runner_on,weighted_runners_on,prior_group_pitch_type,count_,home_or_away_
0.010308331159210796,0.0062518504664375255,0.0016055239104392901,0.009609798860958784,0.03459238282291363,0.0166029778144852,0.03259046343934582,0.030306509020238938,0.012317435480707037,0.008321089589254335,0.19555068576808915,0.17611752226894992,0.08917280007549491,0.10315875426970543,0.09510418070971187,0.11248482621872533,0.0066543691019759045,0.009200335228549057,0.0159929154335952,0.030536007220609087,0.003521241140602787
0.005605030971774884,0.0035324519429456047,0.00265248845172234,0.011743408594407184,0.04216009503413952,0.027807382376037824,0.054616870302816825,0.04702760282359415,0.02024289006807149,0.017361170884240162,0.15631393865125456,0.15127066058254587,0.06580781374819594,0.07277365287020851,0.07968892928963728,0.15608454607345448,0.007980604460878912,0.010556797876490892,0.01268907741711631,0.047165164977326916,0.0069194226031404115
0.005421215599044884,0.004419135577634903,0.0026886031355770057,0.012365924217907212,0.04006637183561202,0.025713782103967176,0.04514987187982763,0.04601674443621799,0.0198468676576152,0.04470080928963525,0.1292839355157948,0.12485413539875174,0.07894847051178952,0.08194248782018908,0.0857163833469343,0.1549705352248647,0.007928071249115752,0.011260804749663102,0.01924193691379916,0.053618417453543316,0.005845496082515238
0.004755868946592358,0.004288758233317089,0.002854978637059067,0.011192400233299822,0.038174776590037006,0.02265246340174332,0.04286666943318393,0.0420010402444692,0.018022180041891205,0.010830490182058344,0.1517465803006146,0.15635264285735004,0.07582405422263623,0.08030661941052122,0.07778064332188626,0.17672038041836333,0.008719957599983879,0.011271588773951518,0.014135074578610156,0.045505089448574176,0.003997743123857244
0.005061675939000252,0.0036924148142387157,0.002924303042584457,0.01160933958482561,0.04299962450338317,0.023119062735958044,0.04238998938083997,0.04250554253552213,0.013200084725626816,0.013383931653636777,0.14421468243927407,0.14089612406484334,0.08707009699641352,0.09021224762728404,0.08983459065088972,0.16630351862899365,0.007963889003361802,0.010842690348756184,0.014686176752286697,0.043365532919360496,0.0037244816529205024
0.0019076565388115316,0.0015581191116843716,0.0008329806492545704,0.006378365422018693,0.02392793224011263,0.01202211664128771,0.0224149346129658,0.022943316095535536,0.009395786520320342,0.003885930815692213,0.19107515125668292,0.16508921005031996,0.1865424936661979,0.09529195092656292,0.07795482462570126,0.12234607385995015,0.0038379916694663532,0.004940905011236867,0.008305905562101866,0.03708318106744938,0.0022651736566469184
0.005328732178896032,0.0055716027515979715,0.002590105591495017,0.012484655084365859,0.06115245875517857,0.026172436517609626,0.04861158232041477,0.05049666991057702,0.017290894256817662,0.007957828793716277,0.1258508676704462,0.12475308973793,0.07957779866044322,0.09091833307611913,0.08955899687306904,0.14762812146235255,0.008783221928885209,0.01168517097425962,0.0361835569669233,0.042369814628673695,0.00503406186022925
0.004788884237708355,0.003846795777684399,0.002575349362753141,0.010669465076965996,0.04860525450946996,0.0290728568936225,0.04117646736710008,0.04448036690904938,0.014418731347724643,0.005124169996277181,0.14052898894611132,0.1397258343849897,0.08426684695211131,0.08755224895544543,0.08811785070032004,0.17635120435784665,0.008123942250575288,0.010864131170635873,0.014317436978525468,0.04185123522588347,0.003541938599199815
0.00673484211383985,0.005884055002688443,0.0038335529030911063,0.01675347913775522,0.053726633415857504,0.030726835346798976,0.05979221782948886,0.06348609595186606,0.028185243333573924,0.015676734635866885,0.1217932846024475,0.11992022119808393,0.07092848494995327,0.07761288834698422,0.08165840509573097,0.13115398408169068,0.011954889218300737,0.015727739919041712,0.011916686962742788,0.0633646079522496,0.009169118001947809
0.0048458973925445395,0.0045631957824767274,0.0036115322644151905,0.009788633973670273,0.03311698167985168,0.02004300780664275,0.044712261062992135,0.03999980988855974,0.01903571239066322,0.019063542453249656,0.1771468301935174,0.16789720131568625,0.06750148829637104,0.07045371215760708,0.07621874870001821,0.14964028276696514,0.007173098476086526,0.011088480648493364,0.016743287860068404,0.05226018779153254,0.0050961070985880794
