rf,birth_year,age
-0.03228256796102511,1977.0,40.0
-0.06849902492680307,1983.0,34.0
-0.05294703163881975,1986.0,31.0
-0.005255501696326448,1986.0,31.0
-0.05984598459845985,1986.0,31.0
-0.1338053053302145,1991.0,26.0
