count
14
5
1
24
35
21
108
9
53
13
12
2
55
13
7
6
28
74
60
16
9
53
4
58
6
9
4
8
15
7
48
12
5
30
11
14
4
2
12
3
12
23
6
48
14
7
22
28
27
50
28
2
11
15
139
40
8
6
43
3
16
12
5
38
25
11
12
8
31
30
12
22
3
30
37
6
23
15
59
31
23
8
10
7
18
17
31
27
4
4
4
29
44
8
62
16
20
19
8
21
10
30
101
18
9
25
19
15
7
9
19
11
6
10
5
32
14
3
7
5
5
26
6
12
9
41
5
24
23
42
55
9
42
23
8
7
15
26
10
35
31
20
28
4
10
5
9
9
13
30
97
20
13
39
13
11
18
12
35
21
7
41
14
47
20
59
39
40
8
42
8
36
24
33
8
47
23
18
30
14
19
37
4
8
21
13
50
30
25
13
30
5
30
10
10
28
2
7
23
64
8
11
33
25
3
46
29
8
9
2
8
34
29
10
1
26
55
12
63
19
22
34
35
9
28
19
6
11
26
7
8
11
8
24
13
11
7
10
3
6
5
16
24
8
19
8
6
7
28
43
9
11
11
25
22
7
17
6
5
13
14
24
12
9
58
20
8
2
6
5
40
6
17
57
9
29
8
23
114
29
2
33
30
4
11
7
20
5
4
10
9
26
52
55
113
36
89
6
17
7
19
8
3
13
13
13
8
118
28
5
77
16
10
70
28
14
9
130
13
20
4
5
7
8
28
12
31
72
36
9
10
11
28
7
46
4
2
13
14
44
7
3
7
16
14
27
3
23
9
96
13
11
11
10
10
92
5
42
30
7
11
13
10
9
12
132
94
7
1
9
7
9
25
4
12
33
10
19
12
29
58
21
24
61
1
12
7
24
21
4
27
11
17
33
9
41
4
5
34
8
23
11
9
12
12
8
18
41
31
57
17
17
10
20
9
6
22
19
13
54
15
7
12
48
13
24
8
13
6
5
17
13
11
8
29
24
75
23
10
65
10
129
13
7
13
12
5
12
10
11
18
17
20
7
3
5
11
8
8
13
6
5
12
19
17
3
8
30
6
83
7
4
9
5
76
14
3
6
8
5
23
20
8
5
9
8
18
6
10
9
76
11
4
4
8
7
26
6
11
12
14
4
25
23
10
11
13
49
9
19
5
8
2
8
9
22
18
11
22
9
10
45
17
25
10
5
10
9
12
8
10
6
2
6
25
6
14
5
11
7
4
6
4
9
11
4
2
9
11
8
18
4
7
6
6
13
7
5
5
4
9
7
5
2
13
7
6
5
4
10
8
16
