pitcher_id,StartVsRelief,pitch_count
571704,Reliever,207
571710,Reliever,245
571735,Reliever,48
571760,Starter,87
571800,Starter,95
571882,Reliever,69
571893,Reliever,83
571927,Starter,361
571946,Starter,378
572038,Reliever,18
572070,Starter,536
572096,Reliever,156
572102,Reliever,69
572193,Reliever,22
572362,Starter,204
572403,Reliever,198
572750,Reliever,41
572788,Reliever,83
572888,Starter,249
572971,Starter,529
572990,Reliever,16
573046,Reliever,136
573064,Reliever,98
573109,Reliever,158
573124,Reliever,11
573185,Starter,407
573186,Starter,492
580792,Reliever,71
592091,Reliever,11
592102,Reliever,191
592127,Reliever,196
592135,Reliever,59
592222,Reliever,65
592332,Starter,185
592341,Reliever,33
592351,Starter,191
592390,Reliever,138
592454,Reliever,14
592593,Starter,99
592612,Reliever,140
592662,Starter,465
592665,Reliever,194
592717,Starter,481
592741,Reliever,122
592767,Starter,499
592789,Starter,392
592804,Reliever,169
592811,Reliever,14
592826,Starter,370
592836,Starter,436
592869,Starter,282
593140,Starter,149
593372,Starter,370
593576,Reliever,211
594736,Starter,346
594760,Starter,165
594798,Starter,256
594857,Reliever,64
594951,Reliever,108
594986,Reliever,149
595014,Reliever,124
595191,Starter,474
595307,Reliever,154
595345,Reliever,93
595465,Reliever,28
596064,Starter,178
596112,Starter,192
598264,Reliever,200
598287,Reliever,163
599998,Reliever,25
605135,Starter,503
605151,Starter,105
605164,Reliever,158
605177,Reliever,133
605200,Starter,261
605226,Reliever,79
605228,Starter,491
605232,Starter,477
605242,Starter,93
605309,Reliever,138
605359,Reliever,83
605388,Starter,97
605396,Reliever,3
605400,Starter,452
605452,Starter,330
605483,Starter,90
605538,Starter,367
605541,Starter,391
606131,Reliever,200
606160,Reliever,48
606273,Reliever,26
606965,Starter,255
607067,Starter,494
607074,Starter,447
607231,Reliever,140
607259,Reliever,21
607309,Reliever,120
607352,Reliever,121
607374,Starter,377
607457,Reliever,135
608032,Reliever,112
608379,Starter,482
608648,Starter,180
608665,Starter,377
608678,Reliever,43
611093,Reliever,62
612434,Reliever,91
612672,Starter,460
621199,Reliever,142
621209,Starter,288
621244,Starter,93
621281,Reliever,145
621295,Reliever,37
621385,Reliever,25
621397,Reliever,47
621408,Reliever,14
622072,Starter,472
622663,Starter,359
623184,Reliever,60
623430,Reliever,224
628317,Starter,472
628452,Starter,487
640455,Starter,87
641490,Reliever,10
643297,Reliever,27
643325,Reliever,27
648737,Reliever,176
657205,Reliever,3
657670,Reliever,96
