pitcher_id,StartVsRelief,games_played
543557,Reliever,29
543606,Starter,26
543699,Starter,25
543726,Reliever,32
543734,Starter,23
543746,Reliever,23
543766,Reliever,25
543779,Reliever,22
543859,Reliever,20
543883,Reliever,35
543900,Reliever,3
543901,Reliever,13
543935,Reliever,18
543964,Reliever,19
544727,Reliever,30
544836,Reliever,25
544928,Reliever,26
544931,Starter,22
544993,Reliever,11
545332,Reliever,16
545333,Starter,35
547749,Reliever,39
547874,Starter,23
547888,Starter,18
548337,Starter,31
548357,Starter,26
548389,Starter,26
553878,Reliever,50
554234,Starter,12
554340,Reliever,23
570632,Reliever,13
570649,Starter,15
570663,Reliever,27
570666,Reliever,3
570714,Starter,9
571035,Reliever,4
571510,Reliever,4
571561,Reliever,38
571578,Starter,24
571584,Reliever,33
571656,Reliever,12
571666,Starter,24
571704,Reliever,24
571710,Reliever,35
571735,Reliever,7
571760,Starter,3
571800,Starter,3
571882,Reliever,19
571893,Reliever,20
571927,Starter,20
571946,Starter,21
572038,Reliever,2
572070,Starter,26
572096,Reliever,17
572102,Reliever,7
572193,Reliever,2
572362,Starter,9
572403,Reliever,46
572750,Reliever,3
572788,Reliever,20
572888,Starter,11
572971,Starter,27
572990,Reliever,3
573046,Reliever,38
573064,Reliever,30
573109,Reliever,37
573124,Reliever,3
573185,Starter,27
573186,Starter,30
580792,Reliever,4
592091,Reliever,4
592102,Reliever,24
592127,Reliever,31
592135,Reliever,9
592222,Reliever,6
592332,Starter,7
592341,Reliever,2
592351,Starter,8
592390,Reliever,12
592454,Reliever,2
592593,Starter,4
592612,Reliever,32
592662,Starter,19
592665,Reliever,27
592717,Starter,20
592741,Reliever,27
592767,Starter,18
592789,Starter,17
592804,Reliever,17
592811,Reliever,3
592826,Starter,20
592836,Starter,15
592869,Starter,20
593140,Starter,6
593372,Starter,13
593576,Reliever,45
594736,Starter,9
594760,Starter,8
594798,Starter,13
594857,Reliever,4
594951,Reliever,19
594986,Reliever,36
595014,Reliever,21
595191,Starter,26
595307,Reliever,20
595345,Reliever,21
595465,Reliever,8
