game_id,variable,value
gid_2016_08_19_wasmlb_atlmlb_1,global_prior_SL_percent,0.28072692491630796
gid_2016_08_20_wasmlb_atlmlb_1,global_prior_SL_percent,0.2804182509505703
gid_2016_08_23_wasmlb_balmlb_1,global_prior_SL_percent,0.2822429906542056
gid_2016_08_27_colmlb_wasmlb_1,global_prior_SL_percent,0.28212290502793297
gid_2016_08_28_colmlb_wasmlb_1,global_prior_SL_percent,0.28180129990714947
gid_2016_09_03_wasmlb_nynmlb_1,global_prior_SL_percent,0.28374021188392445
gid_2016_09_06_atlmlb_wasmlb_1,global_prior_SL_percent,0.2836163377696191
gid_2016_09_08_phimlb_wasmlb_1,global_prior_SL_percent,0.28448665762098596
gid_2016_09_25_wasmlb_pitmlb_1,global_prior_SL_percent,0.28449820788530467
gid_2016_09_28_arimlb_wasmlb_1,global_prior_SL_percent,0.28539526574363555
gid_2017_04_03_kcamlb_minmlb_1,global_prior_SL_percent,0.2853333333333333
gid_2017_04_05_kcamlb_minmlb_1,global_prior_SL_percent,0.28703703703703703
gid_2017_04_06_kcamlb_minmlb_1,global_prior_SL_percent,0.2891513560804899
gid_2017_04_09_minmlb_chamlb_1,global_prior_SL_percent,0.29016890428757036
gid_2017_04_14_chamlb_minmlb_1,global_prior_SL_percent,0.2904062229904927
gid_2017_04_16_chamlb_minmlb_1,global_prior_SL_percent,0.291220556745182
gid_2017_04_20_clemlb_minmlb_1,global_prior_SL_percent,0.290391156462585
gid_2017_04_22_detmlb_minmlb_1,global_prior_SL_percent,0.29193071398394593
gid_2017_04_24_minmlb_texmlb_1,global_prior_SL_percent,0.2906341873162537
gid_2017_04_26_minmlb_texmlb_1,global_prior_SL_percent,0.2936046511627907
gid_2017_04_28_minmlb_kcamlb_1,global_prior_SL_percent,0.2935590421139554
gid_2017_04_30_minmlb_kcamlb_1,global_prior_SL_percent,0.293124742692466
gid_2017_05_03_oakmlb_minmlb_1,global_prior_SL_percent,0.29231398201144726
gid_2017_05_05_bosmlb_minmlb_1,global_prior_SL_percent,0.293138449045879
gid_2017_05_07_bosmlb_minmlb_1,global_prior_SL_percent,0.29302700523982267
gid_2017_05_11_minmlb_chamlb_1,global_prior_SL_percent,0.29298597194388776
gid_2017_05_12_minmlb_clemlb_1,global_prior_SL_percent,0.293365307753797
gid_2017_05_19_kcamlb_minmlb_1,global_prior_SL_percent,0.2932270916334661
gid_2017_05_26_tbamlb_minmlb_1,global_prior_SL_percent,0.29285714285714287
gid_2017_05_28_tbamlb_minmlb_1,global_prior_SL_percent,0.29411764705882354
gid_2017_05_29_houmlb_minmlb_1,global_prior_SL_percent,0.29528632645111025
gid_2017_06_03_minmlb_anamlb_1,global_prior_SL_percent,0.29339002705836875
gid_2017_06_04_minmlb_anamlb_1,global_prior_SL_percent,0.2931633835457706
gid_2017_06_08_minmlb_seamlb_1,global_prior_SL_percent,0.29264536003080477
gid_2017_06_10_minmlb_sfnmlb_1,global_prior_SL_percent,0.29163468917881813
gid_2017_06_11_minmlb_sfnmlb_1,global_prior_SL_percent,0.2913655382274629
gid_2017_06_14_seamlb_minmlb_1,global_prior_SL_percent,0.29084720121028745
gid_2017_06_17_clemlb_minmlb_1,global_prior_SL_percent,0.29165106701609883
gid_2017_06_20_chamlb_minmlb_1,global_prior_SL_percent,0.29183749534103615
gid_2017_06_22_chamlb_minmlb_1,global_prior_SL_percent,0.2931608133086876
gid_2017_06_24_minmlb_clemlb_1,global_prior_SL_percent,0.29286239882266374
gid_2017_06_26_minmlb_bosmlb_1,global_prior_SL_percent,0.292799412196914
gid_2017_06_27_minmlb_bosmlb_1,global_prior_SL_percent,0.29388201019664967
gid_2017_07_01_minmlb_kcamlb_2,global_prior_SL_percent,0.29294755877034356
gid_2017_07_02_minmlb_kcamlb_1,global_prior_SL_percent,0.2915766738660907
gid_2017_07_07_balmlb_minmlb_1,global_prior_SL_percent,0.29088952654232425
gid_2017_07_08_balmlb_minmlb_1,global_prior_SL_percent,0.2919942816297355
gid_2017_07_14_minmlb_houmlb_1,global_prior_SL_percent,0.2925531914893617
gid_2017_07_18_nyamlb_minmlb_1,global_prior_SL_percent,0.29306093694963015
gid_2017_07_21_detmlb_minmlb_1,global_prior_SL_percent,0.29530434782608694
gid_2017_07_24_minmlb_lanmlb_1,global_prior_SL_percent,0.2950762829403606
gid_2017_07_26_minmlb_lanmlb_1,global_prior_SL_percent,0.29415831316972
gid_2017_07_28_minmlb_oakmlb_1,global_prior_SL_percent,0.2950875987633116
gid_2017_07_30_minmlb_oakmlb_1,global_prior_SL_percent,0.2949640287769784
gid_2017_08_06_texmlb_minmlb_1,global_prior_SL_percent,0.2946793997271487
gid_2017_08_07_milmlb_minmlb_1,global_prior_SL_percent,0.2953543574092913
gid_2017_08_09_minmlb_milmlb_1,global_prior_SL_percent,0.2951096121416526
gid_2017_08_12_minmlb_detmlb_1,global_prior_SL_percent,0.29650772330423103
gid_2017_08_17_clemlb_minmlb_2,global_prior_SL_percent,0.2967547674807628
gid_2017_08_22_minmlb_chamlb_1,global_prior_SL_percent,0.29580279813457694
gid_2017_08_27_minmlb_tormlb_1,global_prior_SL_percent,0.29532648326151806
gid_2017_08_29_chamlb_minmlb_1,global_prior_SL_percent,0.29493087557603687
gid_2017_08_31_chamlb_minmlb_1,global_prior_SL_percent,0.29529103989535643
gid_2017_09_06_minmlb_tbamlb_1,global_prior_SL_percent,0.2947127937336815
gid_2017_09_07_minmlb_kcamlb_1,global_prior_SL_percent,0.2936972059779077
gid_2017_09_08_minmlb_kcamlb_1,global_prior_SL_percent,0.29394626092586595
gid_2017_09_13_sdnmlb_minmlb_1,global_prior_SL_percent,0.29533011272141707
gid_2017_09_14_tormlb_minmlb_1,global_prior_SL_percent,0.29740134744947067
gid_2017_09_21_minmlb_detmlb_1,global_prior_SL_percent,0.2973490897476844
gid_2017_09_22_minmlb_detmlb_1,global_prior_SL_percent,0.29828462515883103
gid_2017_09_26_minmlb_clemlb_1,global_prior_SL_percent,0.29781852671514386
gid_2017_09_29_detmlb_minmlb_1,global_prior_SL_percent,0.2988035264483627
gid_2017_10_03_minmlb_nyamlb_1,global_prior_SL_percent,0.2994350282485876
gid_2015_04_08_slnmlb_chnmlb_1,global_prior_FF_percent,0.5809334657398213
gid_2015_04_12_slnmlb_cinmlb_1,global_prior_FF_percent,0.5806132542037586
gid_2015_04_13_milmlb_slnmlb_1,global_prior_FF_percent,0.5821917808219178
gid_2015_04_15_milmlb_slnmlb_1,global_prior_FF_percent,0.5831721470019342
gid_2015_04_16_milmlb_slnmlb_1,global_prior_FF_percent,0.579047619047619
gid_2015_04_21_slnmlb_wasmlb_1,global_prior_FF_percent,0.575925925925926
gid_2015_04_25_slnmlb_milmlb_1,global_prior_FF_percent,0.5712988192552225
gid_2015_04_27_phimlb_slnmlb_1,global_prior_FF_percent,0.5683453237410072
gid_2015_04_30_phimlb_slnmlb_1,global_prior_FF_percent,0.5610184372256365
gid_2015_05_01_pitmlb_slnmlb_1,global_prior_FF_percent,0.5612510860121633
gid_2015_05_03_pitmlb_slnmlb_1,global_prior_FF_percent,0.5575601374570447
gid_2015_05_04_chnmlb_slnmlb_1,global_prior_FF_percent,0.5516372795969773
gid_2015_05_06_chnmlb_slnmlb_1,global_prior_FF_percent,0.5503746877601998
gid_2015_05_08_slnmlb_pitmlb_1,global_prior_FF_percent,0.5518367346938775
gid_2015_05_10_slnmlb_pitmlb_1,global_prior_FF_percent,0.5513338722716249
gid_2015_05_12_slnmlb_clemlb_1,global_prior_FF_percent,0.5524419535628503
gid_2015_05_15_detmlb_slnmlb_1,global_prior_FF_percent,0.553072625698324
gid_2015_05_16_detmlb_slnmlb_1,global_prior_FF_percent,0.5496481626270524
gid_2015_05_18_slnmlb_nynmlb_1,global_prior_FF_percent,0.5487804878048781
gid_2015_05_26_arimlb_slnmlb_1,global_prior_FF_percent,0.5360824742268041
gid_2015_05_30_lanmlb_slnmlb_1,global_prior_FF_percent,0.5344574780058651
gid_2015_06_01_milmlb_slnmlb_1,global_prior_FF_percent,0.5317919075144508
gid_2015_06_07_slnmlb_lanmlb_1,global_prior_FF_percent,0.5298346513299784
gid_2015_06_09_slnmlb_colmlb_1,global_prior_FF_percent,0.5258315640481246
gid_2015_06_13_kcamlb_slnmlb_1,global_prior_FF_percent,0.5231416549789621
