year,pitch_type,percentage
2014,CH,5.754374999999999
2014,FF,28.383437499999992
2014,FT,53.02906250000001
2014,IN,4.36
2014,SL,12.4240625
2015,CH,7.046764705882353
2015,FF,28.085250000000002
2015,FT,55.05825000000001
2015,IN,9.126000000000001
2015,SL,10.237105263157895
2016,CH,68.7705882352941
2016,FF,20.760294117647064
2016,FT,5.055483870967741
2016,IN,4.225
2016,SL,6.359666666666666
2017,CH,9.692499999999999
2017,FF,23.013928571428576
2017,FT,60.31178571428571
2017,SL,7.518461538461539
