variable,value
pitcher,276542
pitcher,276542
pitcher,444857
pitcher,444857
pitcher,459429
pitcher,459429
pitcher,504379
pitcher,504379
pitcher,533167
pitcher,533167
pitcher,571871
pitcher,571871
model,rf
model,svm
model,rf
model,svm
model,rf
model,svm
model,rf
model,svm
model,rf
model,svm
model,rf
model,svm
count_0-0,0.4954172778657904
count_0-0,0.5499912825542117
count_0-0,0.29983630823395224
count_0-0,0.3617923253748909
count_0-0,0.8249770846553725
count_0-0,0.7456041638623413
count_0-0,0.7489055245621229
count_0-0,0.6581965549660591
count_0-0,0.4740512654111675
count_0-0,0.3843735056221877
count_0-0,0.5607246356233431
count_0-0,0.4783969487326616
count_3-2,0.4514285714285714
count_3-2,0.4942673992673993
count_3-2,0.2939830150356467
count_3-2,0.3516105726632042
count_3-2,0.8887992038920831
count_3-2,0.8934210526315789
count_3-2,0.7538974081872217
count_3-2,0.6666711385219276
count_3-2,0.4022123661640163
count_3-2,0.4737758322304795
count_3-2,0.6008974358974359
count_3-2,0.5373076923076924
count_3-1,0.5807142857142857
count_3-1,0.7392857142857142
count_3-1,0.3524786324786325
count_3-1,0.4842735042735042
count_3-1,1.0
count_3-1,1.0
count_3-1,0.8228571428571427
count_3-1,0.8419047619047619
count_3-1,0.5296859903381643
count_3-1,0.7432125603864734
count_3-1,0.43690476190476185
count_3-1,0.8083333333333333
count_3-0,0.7666666666666666
count_3-0,1.0
count_3-0,0.4895238095238095
count_3-0,0.40904761904761894
count_3-0,0.2
count_3-0,0.2
count_3-0,0.9077777777777778
count_3-0,0.9277777777777778
count_3-0,0.5896825396825397
count_3-0,0.9384920634920636
count_3-0,0.6166666666666666
count_3-0,0.9
count_2-2,0.3593727348037693
count_2-2,0.4575706377884236
count_2-2,0.30241085472301443
count_2-2,0.4227823581943365
count_2-2,0.7830187435026146
count_2-2,0.666630203726978
count_2-2,0.5867021686150056
count_2-2,0.4453363311640488
count_2-2,0.471283798169044
count_2-2,0.4398496439807915
count_2-2,0.4652706552706553
count_2-2,0.2692022792022792
count_2-1,0.4625536032594856
count_2-1,0.5389009421950599
count_2-1,0.3405115605115605
count_2-1,0.44493290493290505
count_2-1,0.9155677655677656
count_2-1,0.95018315018315
count_2-1,0.7072647058823529
count_2-1,0.6842794117647059
count_2-1,0.39992673992674
count_2-1,0.4431868131868131
count_2-1,0.5754188948306596
count_2-1,0.6408199643493762
count_2-0,0.5479895104895105
count_2-0,0.5692890442890443
count_2-0,0.33307026307026305
count_2-0,0.4663003663003663
count_2-0,0.9333333333333332
count_2-0,1.0
count_2-0,0.8594696969696971
count_2-0,0.8372474747474747
count_2-0,0.5053840245775729
count_2-0,0.5820199692780339
count_2-0,0.5472261072261072
count_2-0,0.5288111888111888
count_1-2,0.41571654302746736
count_1-2,0.4968125711823192
count_1-2,0.3163903860465604
count_1-2,0.41331807175874974
count_1-2,0.6990265524596331
count_1-2,0.5206678543837798
count_1-2,0.5842594856124268
count_1-2,0.5007355531554314
count_1-2,0.4615346118460709
count_1-2,0.468927762444085
count_1-2,0.4985128205128205
count_1-2,0.32553113553113555
count_1-1,0.4500571328341742
count_1-1,0.44809513480510293
count_1-1,0.29294746409533856
count_1-1,0.33211499724068266
count_1-1,0.8642710643015521
count_1-1,0.7561391352549889
count_1-1,0.6357242757242757
count_1-1,0.4728382728382728
count_1-1,0.3990931192468744
count_1-1,0.3746283652611269
count_1-1,0.4623013493253373
count_1-1,0.3900649675162419
count_1-0,0.5164464246341365
count_1-0,0.6055216892652211
count_1-0,0.2886988483098514
count_1-0,0.36254174524805255
count_1-0,0.9133699633699636
count_1-0,0.933008658008658
count_1-0,0.7262031622115781
count_1-0,0.6781938141812056
count_1-0,0.4385507916039832
count_1-0,0.4336122692647516
count_1-0,0.5560501567398121
count_1-0,0.5226708463949843
count_0-2,0.4159090909090909
count_0-2,0.4661363636363636
count_0-2,0.2900622041920217
count_0-2,0.3609490271204267
count_0-2,0.7378184014053579
count_0-2,0.6327992659514399
count_0-2,0.6468998211091235
count_0-2,0.4791628608509593
count_0-2,0.4787128620221776
count_0-2,0.505655460939815
count_0-2,0.4671578947368421
count_0-2,0.31694736842105264
count_0-1,0.4367108888208633
count_0-1,0.5158958318932744
count_0-1,0.3013217696762001
count_0-1,0.2911156206514856
count_0-1,0.7702944407822457
count_0-1,0.5341810277176131
count_0-1,0.6555615125977973
count_0-1,0.5374598034355669
count_0-1,0.4014676559688064
count_0-1,0.34510673373794515
count_0-1,0.5382956671925838
count_0-1,0.4076144034102137
