rf,birth_year,age
0.1440423654015887,1973.0,44.0
-0.07654867256637166,1976.0,41.0
-0.03228256796102511,1977.0,40.0
-0.1004016064257028,1980.0,37.0
-0.08507931788061475,1980.0,37.0
0.21602107987522304,1974.0,43.0
-0.018432864986283447,1956.0,61.0
-0.018432864986283447,1978.0,39.0
0.060725317093474125,1981.0,36.0
-0.05036433608783133,1977.0,40.0
0.01820893498745849,1981.0,36.0
0.016666666666666673,1983.0,34.0
-0.04680107054249937,1983.0,34.0
0.038751345532830994,1982.0,35.0
-0.06948431546531655,1981.0,36.0
-0.04424695905759564,1984.0,33.0
-0.06414545454545455,1983.0,34.0
0.02837927441508007,1979.0,38.0
0.02837927441508007,1981.0,36.0
0.02837927441508007,1983.0,34.0
-0.057711080352589775,1980.0,37.0
-0.004187774905230856,1986.0,31.0
0.04660194174757282,1984.0,33.0
-0.016867469879518038,1983.0,34.0
-0.012698817950252959,1983.0,34.0
0.046808788184151386,1984.0,33.0
-0.011922393240158036,1982.0,35.0
-0.027281648675171744,1984.0,33.0
-0.07290640394088672,1988.0,29.0
-0.06849902492680307,1983.0,34.0
-0.012677444381539494,1982.0,35.0
-0.10236329135759874,1985.0,32.0
-0.01622239146991624,1987.0,30.0
-0.06529909790002959,1983.0,34.0
-0.02686451551682879,1986.0,31.0
-0.02006920415224913,1986.0,31.0
0.18015138011650586,1979.0,38.0
0.008083829079163463,1937.0,80.0
0.008083829079163463,1981.0,36.0
-0.0017524279122453688,1983.0,34.0
-0.11000206143063287,1982.0,35.0
-0.11000206143063287,1992.0,25.0
-0.11000206143063287,1990.0,27.0
-0.11000206143063287,1984.0,33.0
-0.11000206143063287,1978.0,39.0
-0.11000206143063287,1980.0,37.0
-0.11000206143063287,1992.0,25.0
-0.11000206143063287,1989.0,28.0
0.08694308881574797,1972.0,45.0
0.08694308881574797,1986.0,31.0
-0.00818964673747912,1983.0,34.0
0.05096566746188151,1980.0,37.0
0.034158300341943906,1982.0,35.0
0.059403479894357035,1984.0,33.0
-0.08351254962653927,1985.0,32.0
-0.08053225751190599,1986.0,31.0
-0.03081320103537535,1982.0,35.0
-0.03081320103537535,1985.0,32.0
-0.03081320103537535,1980.0,37.0
-0.04420664728937159,1984.0,33.0
-0.01617979165148975,1985.0,32.0
-0.09965169854330437,1984.0,33.0
-0.011399380804953596,1996.0,21.0
-0.011399380804953596,1997.0,20.0
-0.011399380804953596,1985.0,32.0
-0.035430151244104764,1985.0,32.0
-0.032553573732741765,1984.0,33.0
0.10693802925327177,1985.0,32.0
-0.06080064028218424,1986.0,31.0
-0.07368314878118205,1985.0,32.0
-0.07368314878118205,1961.0,56.0
-0.03867843348164083,1990.0,27.0
-0.03867843348164083,1981.0,36.0
-0.03867843348164083,1954.0,63.0
-0.03867843348164083,1979.0,38.0
-0.03867843348164083,1987.0,30.0
-0.03867843348164083,1989.0,28.0
-0.03867843348164083,1995.0,22.0
-0.03867843348164083,1930.0,87.0
-0.03867843348164083,1984.0,33.0
-0.03867843348164083,1994.0,23.0
-0.03867843348164083,1983.0,34.0
-0.06354077134570822,1986.0,31.0
-0.02702560107498959,1982.0,35.0
-0.05936739659367396,1982.0,35.0
-0.05936739659367396,1986.0,31.0
-0.05936739659367396,1987.0,30.0
-0.021223035193995245,1984.0,33.0
-0.05294703163881975,1986.0,31.0
0.011273486430062641,1985.0,32.0
-0.004716505586536757,1985.0,32.0
-0.08766123693554535,1986.0,31.0
-0.00994881084819148,1976.0,41.0
-0.00994881084819148,1983.0,34.0
-0.026128266033254174,1949.0,68.0
-0.026128266033254174,1983.0,34.0
-0.026128266033254174,1934.0,83.0
-0.026128266033254174,1947.0,70.0
-0.026128266033254174,1945.0,72.0
-0.02877235102304083,1984.0,33.0
0.03828305953863248,1985.0,32.0
0.03868215937645044,1984.0,33.0
-0.03440119880119881,1987.0,30.0
-0.03440119880119881,1966.0,51.0
-0.03440119880119881,1948.0,69.0
-0.06069945141065829,1985.0,32.0
-0.0580046403712297,1988.0,29.0
0.08271604938271605,1987.0,30.0
-0.002359173522748525,1987.0,30.0
-0.045036940988965005,1986.0,31.0
-0.03143822268416265,1987.0,30.0
0.028244274809160294,1988.0,29.0
-0.03553399116829309,1987.0,30.0
-0.01273725206645523,1988.0,29.0
-0.0395657455208017,1985.0,32.0
-0.021161251258049463,1986.0,31.0
0.011188989622533929,1986.0,31.0
-0.034179183135704866,1983.0,34.0
-0.0242473060215518,1983.0,34.0
0.10459363957597173,1975.0,42.0
-0.06260861151427187,1989.0,28.0
-0.0008996037671210599,1989.0,28.0
-0.03805989738694666,1985.0,32.0
-0.03805989738694666,1969.0,48.0
-0.021870770780222225,1893.0,124.0
-0.021870770780222225,1984.0,33.0
-0.021870770780222225,1926.0,91.0
-0.021870770780222225,1978.0,39.0
-0.021870770780222225,1921.0,96.0
-0.03717777721141895,1988.0,29.0
-0.03686670942046106,1985.0,32.0
0.051661582200642056,1988.0,29.0
-0.01818571664707038,1987.0,30.0
-0.01818571664707038,1984.0,33.0
-0.02316549658395799,1987.0,30.0
-0.026118447294942598,1987.0,30.0
-0.14411359660550116,1985.0,32.0
-0.06266182550043516,1987.0,30.0
-0.08279136220761726,1985.0,32.0
-0.034525058440697164,1987.0,30.0
-0.02085902150287753,1988.0,29.0
-0.042137114735749805,1987.0,30.0
-0.042137114735749805,1997.0,20.0
-0.015297450424929191,1984.0,33.0
-0.08618427674416802,1987.0,30.0
-0.028610739838037587,1986.0,31.0
0.01753309968847351,1982.0,35.0
-0.013932158297306272,1989.0,28.0
