rf,birth_year,age
-0.06025236593059938,1968.0,49.0
-0.06025236593059938,1886.0,131.0
-0.06025236593059938,1988.0,29.0
-0.06025236593059938,1900.0,117.0
-0.053714285714285694,1933.0,84.0
-0.053714285714285694,1955.0,62.0
-0.053714285714285694,1991.0,26.0
-0.03716814159292033,1991.0,26.0
-0.05984598459845985,1986.0,31.0
0.23657463176098756,1988.0,29.0
-0.03495751447116302,1989.0,28.0
0.054546525492099984,1976.0,41.0
0.054546525492099984,1990.0,27.0
-0.037878288389266185,1986.0,31.0
-0.03858643744030563,1990.0,27.0
0.028819728819728812,1987.0,30.0
0.06943905968167133,1989.0,28.0
0.006369655885692449,1990.0,27.0
-0.018862184885049527,1989.0,28.0
0.0676243373558166,1987.0,30.0
0.0676243373558166,1960.0,57.0
-0.045312995409492574,1986.0,31.0
-0.0548599389630539,1990.0,27.0
-0.041134085213032585,1990.0,27.0
0.03268293138773441,1987.0,30.0
-0.026525321169242173,1987.0,30.0
-0.04709733776470508,1990.0,27.0
-0.053550863723608434,1986.0,31.0
-0.013110509907908408,1987.0,30.0
-0.10462184873949584,1989.0,28.0
0.04162773681544433,1988.0,29.0
-0.032352941176470564,1988.0,29.0
-0.007672927377614314,1992.0,25.0
-0.007672927377614314,1991.0,26.0
-0.036963774273754434,1986.0,31.0
0.02614241264059953,1988.0,29.0
0.02614241264059953,1954.0,63.0
0.02614241264059953,1977.0,40.0
0.1398857924791453,1988.0,29.0
-0.008049289476299303,1989.0,28.0
-0.03707104816875427,1985.0,32.0
0.003080732465737657,1990.0,27.0
-0.1338053053302145,1991.0,26.0
-0.07815661256023043,1988.0,29.0
-0.04747512994389178,1990.0,27.0
0.026197783461210582,1988.0,29.0
-0.014785145021815337,1988.0,29.0
0.04292237442922375,1986.0,31.0
-0.008386277001270637,1991.0,26.0
0.017694878951126113,1986.0,31.0
0.017694878951126113,1988.0,29.0
0.017694878951126113,1986.0,31.0
-0.05356068204613842,1991.0,26.0
-0.03379620858742829,1991.0,26.0
-0.043175451620885895,1988.0,29.0
-0.04328009574511989,1992.0,25.0
0.003950415173369937,1988.0,29.0
0.003950415173369937,1989.0,28.0
0.003950415173369937,1965.0,52.0
0.003950415173369937,1994.0,23.0
0.003950415173369937,1991.0,26.0
0.003950415173369937,1995.0,22.0
0.003950415173369937,1981.0,36.0
0.003950415173369937,1984.0,33.0
0.003950415173369937,1978.0,39.0
0.003950415173369937,1991.0,26.0
0.003950415173369937,1982.0,35.0
-0.018482999128160447,1988.0,29.0
-0.01023710678883093,1988.0,29.0
-0.04528985507246373,1990.0,27.0
-0.06319741077303362,1991.0,26.0
0.17928079786486867,1991.0,26.0
0.011475132555283448,1987.0,30.0
