variable,value
Train,0.1440423654015887
Train,-0.07654867256637166
Train,-0.03228256796102511
Train,-0.1004016064257028
Train,-0.08507931788061475
Train,0.21602107987522304
Train,-0.018432864986283447
Train,0.060725317093474125
Train,-0.05036433608783133
Train,0.01820893498745849
Train,0.016666666666666673
Train,-0.04680107054249937
Train,0.038751345532830994
Train,-0.06948431546531655
Train,-0.04424695905759564
Train,-0.06414545454545455
Train,0.02837927441508007
Train,-0.057711080352589775
Train,-0.004187774905230856
Train,0.04660194174757282
Train,-0.016867469879518038
Train,-0.012698817950252959
Train,0.04680878818415138
Train,-0.011922393240158036
Train,-0.027281648675171744
Train,-0.07290640394088672
Train,-0.06849902492680307
Train,-0.012677444381539494
Train,-0.10236329135759874
Train,-0.01622239146991624
Train,-0.06529909790002959
Train,-0.02686451551682879
Train,-0.02006920415224913
Train,0.18015138011650586
Train,0.008083829079163463
Train,-0.0017524279122453688
Train,-0.11000206143063287
Train,0.08694308881574797
Train,-0.00818964673747912
Train,0.05096566746188151
Train,0.034158300341943906
Train,0.059403479894357035
Train,-0.08351254962653927
Train,-0.08053225751190599
Train,-0.03081320103537535
Train,-0.04420664728937159
Train,-0.01617979165148975
Train,-0.09965169854330436
Train,-0.011399380804953596
Train,-0.035430151244104764
Train,-0.032553573732741765
Train,0.10693802925327177
Train,-0.06080064028218424
Train,-0.07368314878118205
Train,-0.03867843348164083
Train,-0.06354077134570822
Train,-0.02702560107498959
Train,-0.05936739659367396
Train,-0.021223035193995245
Train,-0.05294703163881975
Train,0.011273486430062641
Train,-0.004716505586536757
Train,-0.08766123693554535
Train,-0.00994881084819148
Train,-0.02612826603325417
Train,-0.02877235102304083
Train,0.03828305953863248
Train,0.03868215937645044
Train,-0.03440119880119881
Train,-0.06069945141065829
Train,-0.0580046403712297
Train,0.08271604938271605
Train,-0.002359173522748525
Train,-0.045036940988965005
Train,-0.03143822268416265
Train,0.028244274809160294
Train,-0.03553399116829309
Train,-0.01273725206645523
Train,-0.0395657455208017
Train,-0.021161251258049463
Train,0.011188989622533929
Train,-0.034179183135704866
Train,-0.0242473060215518
Train,0.10459363957597173
Train,-0.06260861151427187
Train,-0.0008996037671210599
Train,-0.038059897386946664
Train,-0.021870770780222225
Train,-0.03717777721141895
Train,-0.03686670942046106
Train,0.051661582200642056
Train,-0.01818571664707038
Train,-0.02316549658395799
Train,-0.0261184472949426
Train,-0.14411359660550116
Train,-0.06266182550043516
Train,-0.08279136220761726
Train,-0.034525058440697164
Train,-0.02085902150287753
Train,-0.042137114735749805
Train,-0.015297450424929191
Train,-0.08618427674416802
Train,-0.028610739838037587
Train,0.01753309968847351
Train,-0.013932158297306272
Train,-0.005255501696326448
Train,-0.014283945157010147
Train,-0.032585434729852
Train,0.0001831501831501825
Train,-0.048568532986894265
Train,0.001945385292986468
Train,-0.0205386959034047
Train,-0.010133470814000121
Train,-0.00649361702127661
Train,0.00754457929351141
Train,-0.060754736677279625
Train,0.0410791993037424
Train,-0.09344362651321528
Train,-0.029919977939577787
Train,0.042912728787523766
Train,0.014851013708242513
Train,-0.06258421998491025
Train,-0.006954708793816522
Train,-0.06882168925964544
Train,-0.10159970473478856
Train,-0.06025236593059938
Train,-0.053714285714285694
Train,-0.03716814159292033
Train,-0.05984598459845985
Train,0.2365746317609876
Train,-0.03495751447116302
Train,0.054546525492099984
Train,-0.03787828838926618
Train,-0.03858643744030563
Train,0.028819728819728805
Train,0.06943905968167133
Train,0.006369655885692449
Train,-0.018862184885049527
Train,0.0676243373558166
Train,-0.045312995409492574
Train,-0.0548599389630539
Train,-0.04113408521303258
Train,0.03268293138773441
Train,-0.026525321169242173
Train,-0.04709733776470508
Train,-0.053550863723608434
Train,-0.013110509907908408
Train,-0.10462184873949584
Train,0.04162773681544433
Train,-0.032352941176470564
Train,-0.007672927377614314
Train,-0.036963774273754434
Train,0.026142412640599532
Train,0.1398857924791453
Train,-0.008049289476299303
Train,-0.03707104816875427
Train,0.003080732465737657
Train,-0.1338053053302145
Train,-0.07815661256023043
Train,-0.04747512994389178
Train,0.026197783461210586
Train,-0.014785145021815337
Train,0.04292237442922375
Train,-0.008386277001270637
Train,0.017694878951126113
Train,-0.05356068204613842
Train,-0.03379620858742829
Train,-0.043175451620885895
Train,-0.04328009574511989
